34.3916 	EXP 	New trial (rep=20, index=0): None
34.3927 	DATA 	Keypress: down
34.4051 	EXP 	fixation: autoDraw = False
34.4051 	EXP 	grating: autoDraw = False
34.4051 	EXP 	grating: ori = -5.0
34.4051 	EXP 	fixation: autoDraw = True
35.4052 	INFO 	Keyboard events cleared
35.4047 	EXP 	fixation: autoDraw = False
35.4047 	EXP 	grating: autoDraw = True
35.7048 	EXP 	grating: autoDraw = False
36.0751 	EXP 	New trial (rep=21, index=0): None
36.0762 	DATA 	Keypress: down
36.0880 	EXP 	fixation: autoDraw = False
36.0880 	EXP 	grating: autoDraw = False
36.0880 	EXP 	grating: ori = -4.0
36.0880 	EXP 	fixation: autoDraw = True
37.0882 	INFO 	Keyboard events cleared
37.0878 	EXP 	fixation: autoDraw = False
37.0878 	EXP 	grating: autoDraw = True
37.3878 	EXP 	grating: autoDraw = False
37.5920 	EXP 	New trial (rep=22, index=0): None
37.5931 	DATA 	Keypress: down
37.6044 	EXP 	fixation: autoDraw = False
37.6044 	EXP 	grating: autoDraw = False
37.6044 	EXP 	grating: ori = 0.0
37.6044 	EXP 	fixation: autoDraw = True
38.6048 	INFO 	Keyboard events cleared
38.6044 	EXP 	fixation: autoDraw = False
38.6044 	EXP 	grating: autoDraw = True
38.9042 	EXP 	grating: autoDraw = False
39.1914 	EXP 	New trial (rep=23, index=0): None
39.1926 	DATA 	Keypress: up
39.2043 	EXP 	fixation: autoDraw = False
39.2043 	EXP 	grating: autoDraw = False
39.2043 	EXP 	grating: ori = 0.0
39.2043 	EXP 	fixation: autoDraw = True
40.2047 	INFO 	Keyboard events cleared
40.2042 	EXP 	fixation: autoDraw = False
40.2042 	EXP 	grating: autoDraw = True
40.5044 	EXP 	grating: autoDraw = False
40.6251 	EXP 	New trial (rep=24, index=0): None
40.6262 	DATA 	Keypress: down
40.6374 	EXP 	fixation: autoDraw = False
40.6374 	EXP 	grating: autoDraw = False
40.6374 	EXP 	grating: ori = 1.0
40.6374 	EXP 	fixation: autoDraw = True
41.6378 	INFO 	Keyboard events cleared
41.6373 	EXP 	fixation: autoDraw = False
41.6373 	EXP 	grating: autoDraw = True
41.9373 	EXP 	grating: autoDraw = False
45.5573 	EXP 	New trial (rep=25, index=0): None
45.5585 	DATA 	Keypress: down
45.5702 	EXP 	fixation: autoDraw = False
45.5702 	EXP 	grating: autoDraw = False
45.5702 	EXP 	grating: ori = 1.0
45.5702 	EXP 	fixation: autoDraw = True
46.5704 	INFO 	Keyboard events cleared
46.5700 	EXP 	fixation: autoDraw = False
46.5700 	EXP 	grating: autoDraw = True
46.8698 	EXP 	grating: autoDraw = False
47.3069 	EXP 	New trial (rep=26, index=0): None
47.3080 	DATA 	Keypress: down
47.3199 	EXP 	fixation: autoDraw = False
47.3199 	EXP 	grating: autoDraw = False
47.3199 	EXP 	grating: ori = 0.0
47.3199 	EXP 	fixation: autoDraw = True
48.3201 	INFO 	Keyboard events cleared
48.3197 	EXP 	fixation: autoDraw = False
48.3197 	EXP 	grating: autoDraw = True
48.6197 	EXP 	grating: autoDraw = False
48.9401 	EXP 	New trial (rep=27, index=0): None
48.9417 	DATA 	Keypress: up
48.9530 	EXP 	fixation: autoDraw = False
48.9530 	EXP 	grating: autoDraw = False
48.9530 	EXP 	grating: ori = 0.0
